id,name,sex,type,term_of_office,prior_role,after_role,party,medium_type,cabinet,medium,ministry
2c,Maurizio Gemmer,1,1,2023 bis jetzt,2,NA,NA,2,NA,WDR,Innenministerium
3c,Axel Birkenkämper,1,1,NA,NA,NA,NA,NA,NA,NA,"Arbeit, Gesundheit, Soziales"
4c,Fabian Schlabach,1,1,2019 bis jetzt,NA,NA,NA,NA,NA,NA,Finanzministerium
5c,Charlotte Schröder,2,1,2023 bis jetzt,2,NA,NA,2,NA,RTL,"Wirtschaft, Industrie, Klimaschutz & Energie"
6c,Frank Seidlitz,1,1,2022 bis jetzt,2,NA,NA,2,NA,Axel Springer AG,"Umwelt, Naturschutz & Verkehr"
7c,Jörg Harm,1,1,2022 bis jetzt,2,NA,NA,2,NA,NA,Schule & Bildung
8c,Dr. Marcus Strunk,1,1,NA,NA,NA,NA,NA,NA,NA,Justiz
9c,Désirée Linde,2,1,NA,NA,NA,NA,2,NA,NA,"Kinder, Familie, Flüchtlinge, Integration"
10c,Fabian Voß,1,1,2023 bis jetzt,NA,NA,NA,NA,NA,NA,"Kinder, Familie, Flüchtlinge, Integration"
11c,Juliana Stockheim,2,1,NA,NA,NA,NA,NA,NA,NA,"Kinder, Familie, Flüchtlinge, Integration"
12c,Mariam Karout,2,1,NA,NA,NA,NA,NA,NA,NA,"Kinder, Familie, Flüchtlinge, Integration"
13c,Ursula Kissel,2,1,NA,NA,NA,NA,NA,NA,NA,"Kinder, Familie, Flüchtlinge, Integration"
14c,Christian Wiermer,1,1,2017 bis 2025,2,NA,CDU,2,NA,DuMont- Gruppe,Regierungssprecher
15c,Axel Bäumer,1,1,2022 bis jetzt,3,NA,CDU,2,NA,NA,"Europa, Internationales, Medien/ Staatskanzlei"
16c,Fabian Götz,1,1,NA,NA,NA,NA,NA,NA,NA,"Kommunales, Bau und Digitalisierung"
17c,Gerrit Weber,1,1,2017- 2022,2,3,NA,2,NA,NA,Innenministerium
18c,Matthias Kietzmann,1,1,2011-2023,2,NA,NA,2,NA,FOCUS,"Wirtschaft, Industrie, Klimaschutz und Energie"
19c,Volker Stößel,1,1,2017-2018,2,NA,NA,2,NA,HHL Leipzig,"Wirtschaft, Innovation, Digitalisierung, Energie"
20c,Christian Voss,1,1,2022 bis jetzt,2,3,NA,NA,NA,NA,Ministeriums für Kultur und Wissenschaft
21c,Nikolai Huland,1,1,2021 bis jetzt,1,NA,NA,NA,NA,Dpa,Ministeriums für Kultur und Wissenschaft
22c,Britta Heidemann,2,1,NA,NA,NA,NA,NA,NA,NA,Ministeriums für Kultur und Wissenschaft
23c,Magdalena Bollmann,2,1,NA,NA,B,NA,NA,NA,NA,Ministeriums für Kultur und Wissenschaft
24c,Jochen Mohr,1,1,2019-2022,NA,3,NA,NA,NA,Westdeutsche Zeitung,Ministerium für Kultur und Wissenschaft
25c,Daniel Kölle,1,1,2017-2022,2,3,NA,2,NA,NA,Schule & Bildung
26c,Hermann Lamberty,1,1,2013-2017,NA,NA,NA,2,NA,Nordwestzeitung,Kultur und Wissenschaft
27c,Nordwestzeitung,NA,3,NA,NA,NA,NA,2,NA,NA,NA
28c,DuMont-Gruppe,NA,3,NA,NA,NA,NA,2,NA,NA,NA
29c,Westdeutsche Zeitung,NA,3,NA,NA,NA,NA,2,NA,NA,NA
30c,Innenministerium NRW,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
31c,"Arbeit, Gesundheit, Soziales NRW",NA,2,NA,NA,NA,NA,NA,NA,NA,NA
32,Finanzministerium NRW,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
33c,"Wirtschaft, Industrie, Klimaschutz & Energie NRW",NA,2,NA,NA,NA,NA,NA,NA,NA,NA
34c,"Umwelt, Naturschutz & Verkehr NRW",NA,2,NA,NA,NA,NA,NA,NA,NA,NA
35c,Schule & Bildung NRW,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
36c,Justizministerium NRW,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
